"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"failed","Tue Oct 28 17:45:37 UTC 2025","Tue Oct 28 17:45:38 UTC 2025","662","PlayerController Test Suite","Player API Tests","com.spribe.tests.UpdatePlayerTest","com.spribe.tests.UpdatePlayerTest","testUpdatePlayerByUserForbidden","Update player by user without permissions - negative test","Verify that user cannot update other players"
"passed","Tue Oct 28 17:45:38 UTC 2025","Tue Oct 28 17:45:38 UTC 2025","328","PlayerController Test Suite","Player API Tests","com.spribe.tests.UpdatePlayerTest","com.spribe.tests.UpdatePlayerTest","testUpdatePlayerPasswordBySupervisor","Update player password by supervisor - positive test","Verify that supervisor can update player password"
"failed","Tue Oct 28 17:45:31 UTC 2025","Tue Oct 28 17:45:31 UTC 2025","346","PlayerController Test Suite","Player API Tests","com.spribe.tests.CreatePlayerTest","com.spribe.tests.CreatePlayerTest","testCreatePlayerWithInvalidGender","Create player with invalid gender - negative test","Verify that player cannot be created with gender other than 'male' or 'female'"
"passed","Tue Oct 28 17:45:57 UTC 2025","Tue Oct 28 17:45:59 UTC 2025","1311","PlayerController Test Suite","Player API Tests","com.spribe.tests.IntegrationTest","com.spribe.tests.IntegrationTest","testUserOwnAccountPermissions","User can update own data but not delete","Verify user role permissions on own account"
"failed","Tue Oct 28 17:45:29 UTC 2025","Tue Oct 28 17:45:29 UTC 2025","364","PlayerController Test Suite","Player API Tests","com.spribe.tests.CreatePlayerTest","com.spribe.tests.CreatePlayerTest","testCreatePlayerWithAdminRole","Create player with admin role assignment","Verify that admin role can be assigned to a new player"
"failed","Tue Oct 28 17:45:32 UTC 2025","Tue Oct 28 17:45:33 UTC 2025","336","PlayerController Test Suite","Player API Tests","com.spribe.tests.GetPlayerTest","com.spribe.tests.GetPlayerTest","testGetPlayerWithNegativeId","Get player with negative ID - negative test","Verify that getting player with negative ID returns appropriate error"
"failed","Tue Oct 28 17:45:34 UTC 2025","Tue Oct 28 17:45:34 UTC 2025","330","PlayerController Test Suite","Player API Tests","com.spribe.tests.GetPlayerTest","com.spribe.tests.GetPlayerTest","testGetPlayerWithNonExistentId","Get player with non-existent ID - negative test","Verify that getting player with non-existent ID returns appropriate error"
"failed","Tue Oct 28 17:45:31 UTC 2025","Tue Oct 28 17:45:32 UTC 2025","335","PlayerController Test Suite","Player API Tests","com.spribe.tests.CreatePlayerTest","com.spribe.tests.CreatePlayerTest","testCreatePlayerWithPasswordNoLetters","Create player with password without letters - negative test","Verify that player cannot be created with password without letters"
"failed","Tue Oct 28 17:45:52 UTC 2025","Tue Oct 28 17:45:53 UTC 2025","657","PlayerController Test Suite","Player API Tests","com.spribe.tests.DeletePlayerTest","com.spribe.tests.DeletePlayerTest","testDeleteUserBySupervisor","Delete user by supervisor - positive test","Verify that supervisor can delete users with 'user' role"
"failed","Tue Oct 28 17:45:26 UTC 2025","Tue Oct 28 17:45:29 UTC 2025","3359","PlayerController Test Suite","Player API Tests","com.spribe.tests.CreatePlayerTest","com.spribe.tests.CreatePlayerTest","testCreatePlayerBySupervisor","Create player with supervisor role - positive test","Verify that supervisor can successfully create a user"
"failed","Tue Oct 28 17:45:47 UTC 2025","Tue Oct 28 17:45:48 UTC 2025","655","PlayerController Test Suite","Player API Tests","com.spribe.tests.DeletePlayerTest","com.spribe.tests.DeletePlayerTest","testDeleteAdminBySupervisor","Delete admin by supervisor - positive test","Verify that supervisor can delete users with 'admin' role"
